"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"2024/03/01,""1,868"",""2,020"",""2,059"",""1,662"",""55.27M"",""-7.71%"""
"2024/02/01,""2,024"",""2,390"",""2,777"",""2,018"",""76.17M"",""-13.50%"""
"2024/01/01,""2,340"",""2,365"",""2,467"",""2,083"",""42.09M"",""0.56%"""
"2023/12/01,""2,327"",""2,390"",""2,458"",""2,022"",""40.93M"",""-2.23%"""
"2023/11/01,""2,380"",""2,459"",""2,657"",""2,376"",""46.51M"",""-4.80%"""
"2023/10/01,""2,500"",""3,500"",""3,500"",""2,404"",""75.97M"",""-32.43%"""
"2023/09/01,""3,700"",""3,526"",""3,821"",""3,190"",""32.89M"",""6.17%"""
"2023/08/01,""3,485"",""3,730"",""3,850"",""3,248"",""22.82M"",""-9.46%"""
"2023/07/01,""3,849"",""3,720"",""4,178"",""3,480"",""35.94M"",""-1.00%"""
"2023/06/01,""3,888"",""3,168"",""4,054"",""3,058"",""51.54M"",""22.92%"""
"2023/05/01,""3,163"",""4,323"",""4,361"",""3,125"",""53.06M"",""-27.15%"""
"2023/04/01,""4,342"",""4,274"",""4,520"",""4,175"",""33.18M"",""2.72%"""
"2023/03/01,""4,227"",""4,650"",""4,719"",""3,764"",""60.10M"",""-7.85%"""
