"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"2025/03/01,""2,743"",""2,807"",""2,880"",""2,579"",""33.80M"",""-2.56%"""
"2025/02/01,""2,815"",""2,829"",""3,090"",""2,790"",""24.51M"",""-1.92%"""
"2025/01/01,""2,870"",""3,090"",""3,499"",""2,852"",""35.29M"",""-6.51%"""
"2024/12/01,""3,070"",""3,021"",""3,122"",""2,951"",""31.32M"",""1.66%"""
"2024/11/01,""3,020"",""2,552"",""3,155"",""2,451"",""103.22M"",""18.66%"""
"2024/10/01,""2,545"",""2,649"",""3,011"",""2,520"",""57.70M"",""-1.47%"""
"2024/09/01,""2,583"",""2,401"",""2,711"",""2,277"",""52.26M"",""6.30%"""
"2024/08/01,""2,430"",""2,380"",""2,524"",""2,141"",""45.03M"",""4.52%"""
"2024/07/01,""2,325"",""2,209"",""2,520"",""2,138"",""66.26M"",""-9.57%"""
"2024/06/01,""2,571"",""2,466"",""2,820"",""2,388"",""25.91M"",""3.50%"""
"2024/05/01,""2,484"",""2,048"",""2,649"",""1,942"",""43.70M"",""23.21%"""
"2024/04/01,""2,016"",""1,900"",""2,047"",""1,842"",""35.31M"",""7.92%"""
"2024/03/01,""1,868"",""2,020"",""2,059"",""1,662"",""55.27M"",""-7.71%"""
