"Date","Price","Open","High","Low","Vol.","Change %"
"2026/03/01","1,910","1,920","1,956","1,767","59.08M","-1.80%"
"2026/02/01","1,945","2,430","2,435","1,942","44.61M","-19.19%"
"2026/01/01","2,407","2,490","2,531","2,359","63.32M","-3.33%"
"2025/12/01","2,490","2,650","2,650","2,400","51.78M","-4.85%"
"2025/11/01","2,617","2,900","2,900","2,451","58.31M","-7.53%"
"2025/10/01","2,830","2,501","3,290","2,484","64.10M","11.46%"
"2025/09/01","2,539","2,800","2,800","2,400","26.11M","-7.94%"
"2025/08/01","2,758","2,840","2,908","2,600","27.39M","-2.72%"
"2025/07/01","2,835","2,600","2,917","2,523","28.45M","5.78%"
"2025/06/01","2,680","2,740","2,750","2,418","38.44M","-1.51%"
"2025/05/01","2,721","2,817","2,883","2,601","28.35M","-2.72%"
"2025/04/01","2,797","2,795","2,840","2,312","33.22M","1.97%"
"2025/03/01","2,743","2,807","2,880","2,579","33.80M","-2.56%"
