"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/01","6,461","6,301","6,681","6,003","10.78M","2.96%"
"2026/03/01","6,275","6,930","7,150","6,075","18.20M","-10.10%"
"2026/02/01","6,980","8,850","9,235","6,622","21.88M","-21.27%"
"2026/01/01","8,866","9,549","9,883","8,731","12.76M","-7.16%"
"2025/12/01","9,550","10,214","10,615","8,807","15.12M","-8.17%"
"2025/11/01","10,400","10,998","11,182","10,114","9.22M","-4.77%"
"2025/10/01","10,921","9,750","11,000","9,701","12.42M","10.76%"
"2025/09/01","9,860","10,825","11,324","9,564","13.31M","-8.92%"
"2025/08/01","10,826","10,630","11,147","10,403","7.66M","1.18%"
"2025/07/01","10,700","10,751","11,230","10,447","9.41M","-0.79%"
"2025/06/01","10,785","11,120","11,695","10,500","12.04M","-2.99%"
"2025/05/01","11,117","11,458","12,052","11,086","10.95M","-2.97%"
"2025/04/01","11,457","11,780","12,200","10,241","21.89M","-3.10%"
"2025/03/01","11,823","13,303","13,392","11,578","13.21M","-11.17%"
"2025/02/01","13,309","13,801","14,817","13,070","14.32M","-5.08%"
"2025/01/01","14,022","14,521","14,945","13,615","9.36M","-4.02%"
"2024/12/01","14,609","14,600","15,168","14,067","10.76M","1.83%"
"2024/11/01","14,347","12,551","14,638","12,501","15.41M","13.39%"
"2024/10/01","12,653","13,501","13,534","12,401","11.89M","-6.65%"
"2024/09/01","13,554","12,800","14,064","10,703","14.06M","5.78%"
"2024/08/01","12,813","12,547","12,880","11,900","10.13M","2.12%"
"2024/07/01","12,547","11,879","12,662","11,622","16.17M","6.00%"
"2024/06/01","11,837","10,338","12,198","9,300","17.39M","13.84%"
"2024/05/01","10,398","9,560","10,929","9,560","9.36M","7.46%"
"2024/04/01","9,676","8,800","9,810","8,729","13.35M","9.41%"
"2024/03/01","8,844","9,800","9,805","8,558","15.72M","-9.43%"
"2024/02/01","9,765","11,270","12,005","9,700","12.99M","-13.01%"
"2024/01/01","11,225","11,790","12,147","10,780","8.68M","-4.79%"
"2023/12/01","11,790","11,611","12,075","11,000","9.21M","1.20%"
"2023/11/01","11,650","11,375","12,235","10,811","11.25M","3.56%"
"2023/10/01","11,250","11,586","12,056","10,666","14.20M","-3.25%"
"2023/09/01","11,628","10,275","11,802","9,640","17.15M","13.17%"
"2023/08/01","10,275","10,552","10,950","9,757","18.74M","-4.80%"
"2023/07/01","10,793","10,420","11,236","10,011","15.43M","2.79%"
"2023/06/01","10,500","10,451","10,963","8,945","42.10M","-0.66%"
"2023/05/01","10,570","13,900","14,077","10,322","26.76M","-24.72%"
"2023/04/01","14,040","13,775","14,436","13,525","10.08M","-0.29%"
"2023/03/01","14,081","14,370","15,039","12,900","20.22M","-2.22%"
"2023/02/01","14,400","13,700","15,432","13,696","60.47M","4.77%"
"2023/01/01","13,745","11,500","14,030","11,312","31.98M","21.10%"
"2022/12/01","11,350","13,399","13,949","11,298","22.81M","-14.77%"
"2022/11/01","13,317","15,553","16,651","13,211","27.88M","-14.50%"
"2022/10/01","15,575","14,336","15,795","13,603","17.45M","8.64%"
"2022/09/01","14,336","15,760","16,066","13,862","18.71M","-8.44%"
"2022/08/01","15,658","13,510","16,151","13,118","20.51M","16.62%"
"2022/07/01","13,426","13,900","14,079","12,909","14.03M","-2.79%"
"2022/06/01","13,812","15,060","15,525","13,400","17.24M","-9.91%"
"2022/05/01","15,331","16,550","16,800","14,393","17.14M","-7.35%"
"2022/04/01","16,547","16,996","17,388","16,200","9.72M","-2.50%"
