"Date","Price","Open","High","Low","Change %"
"2023/03/01","7.575","7.575","7.575","7.575","0.00%"
"2023/02/01","7.575","7.550","100.005","7.525","0.33%"
"2023/01/01","7.550","7.425","7.775","7.400","2.03%"
"2022/12/01","7.400","7.275","7.425","7.240","1.72%"
"2022/11/01","7.275","7.200","7.340","7.165","1.04%"
"2022/10/01","7.200","7.220","7.290","7.065","-0.28%"
"2022/09/01","7.220","6.895","7.300","6.880","4.94%"
"2022/08/01","6.880","6.840","7.100","6.800","0.58%"
"2022/07/01","6.840","6.355","6.915","6.355","15.93%"
"2022/06/01","5.900","5.570","5.925","5.515","5.92%"
"2022/05/01","5.570","5.500","5.745","5.375","1.27%"
"2022/04/01","5.500","5.415","5.580","5.415","1.57%"
"2022/03/01","5.415","5.320","5.645","5.295","0.46%"
"2022/02/01","5.390","5.395","5.435","5.210","-0.09%"
"2022/01/01","5.395","5.090","5.455","5.070","5.99%"
