"Date","Price","Open","High","Low","Vol.","Change %"
"2026/04/01","5,218","5,200","5,313","4,905","50.88M","2.88%"
"2026/03/01","5,072","5,400","5,468","4,984","96.83M","-6.85%"
"2026/02/01","5,445","5,420","5,573","5,273","53.18M","0.54%"
"2026/01/01","5,416","5,650","6,146","5,416","92.91M","-3.29%"
"2025/12/01","5,600","5,606","5,750","5,262","48.70M","-0.90%"
"2025/11/01","5,651","5,309","6,124","5,044","72.03M","7.93%"
"2025/10/01","5,236","5,040","5,585","4,987","90.27M","4.12%"
"2025/09/01","5,029","5,160","5,515","4,889","95.18M","-3.18%"
"2025/08/01","5,194","5,028","5,449","4,914","222.57M","3.88%"
"2025/07/01","5,000","5,165","5,250","4,678","74.23M","-3.40%"
"2025/06/01","5,176","5,899","5,899","4,987","62.62M","-11.67%"
"2025/05/01","5,860","5,750","5,916","5,500","49.89M","1.74%"
"2025/04/01","5,760","5,110","5,790","4,568","91.88M","12.94%"
"2025/03/01","5,100","5,800","5,913","5,093","66.81M","-12.43%"
"2025/02/01","5,824","5,755","6,050","5,600","52.00M","-0.10%"
"2025/01/01","5,830","6,235","6,288","5,531","57.46M","-6.50%"
"2024/12/01","6,235","6,300","6,648","6,121","57.29M","-0.78%"
"2024/11/01","6,284","6,465","7,065","6,222","62.51M","-3.47%"
"2024/10/01","6,510","6,709","6,966","6,325","63.70M","-4.42%"
"2024/09/01","6,811","6,380","6,900","5,876","70.73M","5.34%"
"2024/08/01","6,466","5,901","6,659","5,620","67.16M","7.41%"
"2024/07/01","6,020","6,283","6,479","5,541","89.10M","-2.56%"
"2024/06/01","6,178","5,420","6,525","5,330","90.39M","13.46%"
"2024/05/01","5,445","6,033","6,374","5,392","67.15M","-9.48%"
"2024/04/01","6,015","5,846","6,137","5,496","64.02M","1.59%"
"2024/03/01","5,921","6,400","6,468","5,865","59.99M","-7.73%"
"2024/02/01","6,417","6,801","7,027","6,100","42.00M","-7.50%"
"2024/01/01","6,937","7,100","7,283","6,347","42.68M","-3.92%"
"2023/12/01","7,220","6,750","7,290","6,599","41.04M","6.96%"
"2023/11/01","6,750","6,900","7,396","6,600","71.37M","-2.72%"
"2023/10/01","6,939","6,783","7,049","6,414","70.75M","2.30%"
"2023/09/01","6,783","7,574","7,574","6,779","74.80M","-8.56%"
"2023/08/01","7,418","7,989","8,039","7,255","96.18M","-7.28%"
"2023/07/01","8,000","7,140","8,113","7,140","74.47M","12.12%"
"2023/06/01","7,135","5,942","7,237","5,898","88.33M","19.92%"
"2023/05/01","5,950","6,550","6,572","5,824","100.48M","-8.53%"
"2023/04/01","6,505","6,393","6,688","6,315","55.39M","1.75%"
"2023/03/01","6,393","7,775","7,775","6,226","100.26M","-16.97%"
"2023/02/01","7,700","7,553","8,047","7,321","79.54M","2.11%"
"2023/01/01","7,541","6,740","7,847","6,546","67.01M","13.52%"
"2022/12/01","6,643","6,555","7,002","6,252","69.46M","0.38%"
"2022/11/01","6,618","6,309","7,144","6,183","97.49M","4.90%"
"2022/10/01","6,309","6,071","6,480","5,862","83.28M","3.31%"
"2022/09/01","6,107","5,523","6,553","5,523","138.53M","9.05%"
"2022/08/01","5,600","5,300","5,785","5,060","64.20M","5.92%"
"2022/07/01","5,287","5,515","5,616","5,191","71.55M","-2.54%"
"2022/06/01","5,425","5,545","5,843","5,100","93.11M","-2.55%"
"2022/05/01","5,567","5,948","5,990","5,082","87.53M","-6.31%"
"2022/04/01","5,942","5,813","6,247","5,742","54.97M","2.84%"
