Company,Year,Cash Flow Margin (%),CROS (%),OCF Ratio,Cash Flow Quality Ratio
Shoprite,2025,4.279224877474852,8.528061959934861,0.2466042522619609,1.4648999531553235
Shoprite,2024,5.856690701059544,9.997968924545548,0.3332129616254995,1.8660559153372296
Shoprite,2023,4.47585877210954,8.302943385918187,0.2625731150343207,1.4770389568316191
Woolworths,2025,3.5417419588001446,8.919158057400645,0.23148977763297224,1.4172277227722772
Woolworths,2024,4.433956164737829,11.070020042671494,0.2814808734197997,1.4306483957219251
Woolworths,2023,7.071318511996479,15.649075500770415,0.4181241356869763,1.7120710415412401
Pick n Pay,2025,1.749171144392363,2.356726387822764,0.11508085746521249,1.6407049459920409
Pick n Pay,2024,2.1505283139892692,3.1118084027494866,0.09603251403135282,8.864197530864198
Pick n Pay,2023,2.481830776861259,3.9095629320395107,0.11443942782395881,1.4016732283464568
Spar,2025,3.260288290453887,4.142701416501278,0.15993835176809515,2.7456012099823544
Spar,2024,2.647217348950198,3.6687722255558968,0.11394068840877351,1.8082480433473813
Spar,2023,2.9951318098333344,4.200640443531042,0.14747093746428114,2.444590137878969
