Company,Year,Market Cap (Rm),Enterprise Value (Rm),P/E Ratio,Dividend Yield (%),Dividend Cover,P/B Ratio,EV/EBITDA
Shoprite,2025,149697.94205944997,195627.94205944997,25.433924143631184,2.6358548474453873,1.4916438356164385,4.970546271522727,13.091610925480156
Shoprite,2024,158532.0193545,196165.0193545,24.5721992750569,2.339622641509434,1.7394428152492667,5.718223176832347,15.492419787908702
Shoprite,2023,122515.02498239999,158521.0249824,20.71815593718431,2.7260638297872344,1.770569105691057,4.662265963254433,12.838829268842634
Woolworths,2025,46486.14926768,61865.14926768,19.645684131172256,3.6070606293169614,1.4111702127659576,4.340038210034543,12.250524607461385
Woolworths,2024,57047.069168090005,72854.06916809,17.64428412874584,4.175184777480736,1.3574387947269302,5.221221779982611,12.174811024079212
Woolworths,2023,63930.9575051,77399.9575051,14.092435315030613,4.386825508058865,1.6175718849840255,5.318272814666001,11.649602273494882
Pick n Pay,2025,20710.2928,35652.292799999996,-45.74260643483913,0.0,,1.8887635932512539,20.26850073905628
Pick n Pay,2024,9768.91696,35536.91696,-11.783198463061069,0.0,,-33.34101351535836,87.74547397530864
Pick n Pay,2023,22066.690074,43503.690074,17.754296330701344,3.052103771528232,1.8454285714285716,5.959138556305698,14.27286419750656
Spar,2025,18333.81817245,32271.618172450002,18.767744479495267,0.0,,3.451201583579617,16.27003689057222
Spar,2024,28333.73244405,51353.432444050006,16.033787465940055,0.0,,2.7313043990138524,19.323236169495036
Spar,2023,22707.8176545,48215.317654499995,14.278793750756934,0.0,,2.221552169376614,19.15815061568721
