Company,Year,Market Cap (Rm),P/E Ratio,Dividend Yield (%),Dividend Cover,P/B Ratio
Shoprite,2025,14624.390288,,26.981076286221167,0.0,485585.8912906332
Shoprite,2024,16152.3153,2.5035825676473067,22.962962962962965,1.7394428152492667,582611.2862501803
Shoprite,2023,14936.947815,2.3185534856275813,22.359570987093257,1.928943089430894,568420.2684755309
Woolworths,2025,4959.52,2.09574067093856,33.81294964028777,1.4111702127659576,463030.5293623378
Woolworths,2024,5530.005,1.7105993340732522,43.06569343065693,1.3574387947269302,506132.6194398682
Woolworths,2023,6909.54,1.4260319968398183,43.35180055401662,1.6175718849840255,574789.1190416771
Pick n Pay,2025,1847.7380460000002,-4.026649333766657,0.0,,168512.36169630644
Pick n Pay,2024,1490.71245,-1.758747161902544,0.0,,-5087755.802047782
Pick n Pay,2023,1148.2588480999998,0.9006812200030964,60.16330038676407,1.8454285714285716,310088.8058601134
Spar,2025,1833.381817245,1.8767744479495267,0.0,,345120.15835796174
Spar,2024,2833.373244405,1.6033787465940053,0.0,,273130.4399013852
Spar,2023,2270.78176545,1.4278793750756933,0.0,,222155.2169376614
