Company,Year,Share Price (R),Shares in Issue,Market Cap (Rm),HEPS (R),DPS (R),P/E Ratio,Dividend Yield (%),Dividend Cover,P/B Ratio
Shoprite,2025,27.056,540523000.0,14624.390288,0.0,7.3,,26.981076286221167,0.0,485585.8912906332
Shoprite,2024,29.7,543849000.0,16152.3153,11.863,6.82,2.5035825676473067,22.962962962962965,1.7394428152492667,582611.2862501803
Shoprite,2023,27.505,543063000.0,14936.947815,11.863,6.15,2.3185534856275813,22.359570987093257,1.928943089430894,568420.2684755309
Woolworths,2025,5.56,892000000.0,4959.52,2.653,1.88,2.09574067093856,33.81294964028777,1.4111702127659576,463030.5293623378
Woolworths,2024,6.165,897000000.0,5530.005,3.6039999999999996,2.655,1.7105993340732522,43.06569343065693,1.3574387947269302,506132.6194398682
Woolworths,2023,7.22,957000000.0,6909.54,5.063,3.13,1.4260319968398183,43.35180055401662,1.6175718849840255,574789.1190416771
Pick n Pay,2025,2.478,745657000.0,1847.7380460000002,-0.6154,0.0,-4.026649333766657,0.0,,168512.36169630644
Pick n Pay,2024,3.021,493450000.0,1490.71245,-1.7177,0.0,-1.758747161902544,0.0,,-5087755.802047782
Pick n Pay,2023,2.327,493450300.0,1148.2588480999998,2.5836,1.4,0.9006812200030964,60.16330038676407,1.8454285714285716,310088.8058601134
Spar,2025,9.519,192602355.0,1833.381817245,5.072,0.0,1.8767744479495267,0.0,,345120.15835796174
Spar,2024,14.711,192602355.0,2833.373244405,9.175,0.0,1.6033787465940053,0.0,,273130.4399013852
Spar,2023,11.79,192602355.0,2270.78176545,8.257,0.0,1.4278793750756933,0.0,,222155.2169376614
