Company,Year,Equity (Rm),Fin Debt (Rm),Leases (Rm),Total Debt (Rm),EBIT (Rm),Finance Cost (Rm),D/E (Fin),D/E (Total),Debt Ratio,Equity Ratio,Debt/Capital,ICR (x),OCF/Debt,Tax Shield Benefit @ 27% (Rm)
Shoprite,2025,30117.0,13008.0,47020.0,60028.0,14943.0,5115.0,0.43,1.99,0.48,0.24,0.67,2.92,0.18,1381.05
Shoprite,2024,27724.0,11576.0,40477.0,52053.0,12662.0,4153.0,0.42,1.88,0.46,0.25,0.65,3.05,0.27,1121.31
Shoprite,2023,26278.0,11540.0,35582.0,47122.0,12347.0,3668.0,0.44,1.79,0.46,0.26,0.64,3.37,0.21,990.36
Woolworths,2025,10711.0,18572.0,9816.0,28388.0,5050.0,1771.0,1.73,2.65,0.69,0.26,0.73,2.85,0.1,478.17
Woolworths,2024,10926.0,12628.0,10304.0,22932.0,5984.0,1724.0,1.16,2.1,0.59,0.28,0.68,3.47,0.15,465.48
Woolworths,2023,12021.0,10100.0,11002.0,21102.0,6644.0,1444.0,0.84,1.76,0.54,0.31,0.64,4.6,0.24,389.88
Pick n Pay,2025,10965.0,1700.0,19120.0,20820.0,1759.0,2561.0,0.16,1.9,0.44,0.23,0.66,0.69,0.1,691.47
Pick n Pay,2024,-293.0,9000.0,19706.0,28706.0,405.0,2467.0,N/A,N/A,0.61,-0.01,1.01,0.16,0.09,666.09
Pick n Pay,2023,3703.0,0.0,17766.0,17766.0,3048.0,1773.9,0.0,4.8,0.42,0.09,0.83,1.72,0.15,478.95
Spar,2025,5312.3,13029.0,8537.6,21566.6,1983.5,1304.8,2.45,4.06,0.47,0.11,0.8,1.52,0.2,352.3
Spar,2024,10373.7,10142.6,13904.4,24047.0,2657.6,1173.7,0.98,2.32,0.41,0.18,0.7,2.26,0.14,316.9
Spar,2023,10221.6,14636.4,15506.1,30142.5,2516.7,1245.5,1.43,2.95,0.49,0.17,0.75,2.02,0.15,336.29
