Company,Year,Operating Cash Flow (OCF),Total Debt,Cash Flow-to-Debt Ratio
Shoprite,2025,10984.0,55876.0,0.19657813730403034
Shoprite,2024,13841.0,49365.0,0.2803808366251393
Shoprite,2023,9831.0,48554.0,0.20247559418379535
Woolworths,2025,2842.0,19670.0,0.14448398576512456
Woolworths,2024,3429.0,18116.0,0.18928019430337822
Woolworths,2023,5140.0,17046.0,0.30153701748210726
Pick n Pay,2025,2142.0,20270.0,0.10567340897878638
Pick n Pay,2024,2481.0,31151.0,0.07964431318416744
Pick n Pay,2023,2712.1,23435.0,0.11572861105184552
Spar,2025,4285.9,16265.1,0.26350283736343455
Spar,2024,3467.5,24295.9,0.14271955350491233
Spar,2023,4386.7,27081.5,0.1619814264350202
