Company,Year,Operating Cash Flow (OCF),Total Debt,Cash Flow-to-Debt Ratio
Shoprite,2025,10984.0,8856.0,1.2402890695573623
Shoprite,2024,13841.0,8888.0,1.5572682268226823
Shoprite,2023,9831.0,12972.0,0.7578630897317299
Woolworths,2025,2842.0,9854.0,0.28841079764562616
Woolworths,2024,3429.0,7812.0,0.43894009216589863
Woolworths,2023,5140.0,6044.0,0.8504301786896096
Pick n Pay,2025,2142.0,1150.0,1.862608695652174
Pick n Pay,2024,2481.0,11445.0,0.21677588466579292
Pick n Pay,2023,2712.1,5669.0,0.4784088904568707
Spar,2025,4285.9,7727.5,0.5546295697185376
Spar,2024,3467.5,10391.5,0.3336861858249531
Spar,2023,4386.7,11575.4,0.37896746548715377
