Retailer,Year,Asset Turnover,Inventory Turnover (Avg),DSI (Days),Receivables Turnover,DSO (Days),Payables Turnover,DPO (Days),CCC (Days)
Shoprite,2023,2.14,6.95,52.51,1233.96,0.3,2365.94,0.15,52.65
Shoprite,2024,2.1,6.61,55.26,795.72,0.46,2278.05,0.16,55.56
Shoprite,2025,2.05,6.58,55.45,512.85,0.71,2361.22,0.15,56.01
Woolworths,2023,1.85,3.92,93.17,44.11,8.28,5.5,66.34,35.1
Woolworths,2024,2.0,6.76,53.98,51.15,7.14,6.06,60.28,0.84
Woolworths,2025,1.96,6.4,57.02,55.23,6.61,6.29,58.01,5.62
Pick n Pay,2023,2.56,9.05,40.33,23.54,15.5,5.77,63.22,-7.38
Pick n Pay,2024,2.46,8.83,41.32,25.45,14.34,6.1,59.87,-4.2
Pick n Pay,2025,2.61,9.36,38.99,27.86,13.1,6.4,57.01,-4.92
Spar,2023,2.37,12.32,29.63,8.17,44.66,3.57,102.13,-27.84
Spar,2024,2.23,17.85,20.45,7.58,48.12,5.21,70.04,-1.47
Spar,2025,2.84,21.3,17.14,8.03,45.43,5.33,68.45,-5.87
