Retailer,Year,Current Ratio,Quick Ratio (CA - Inv),Quick Ratio (Cash + Rec),Cash Ratio
Shoprite,2023,1.27,0.6,0.34,0.34
Shoprite,2024,1.21,0.52,0.29,0.28
Shoprite,2025,1.19,0.52,0.24,0.22
Woolworths,2023,1.02,0.45,0.43,0.29
Woolworths,2024,0.92,0.31,0.3,0.19
Woolworths,2025,1.2,0.48,0.47,0.35
Pick n Pay,2023,0.75,0.3,0.28,0.08
Pick n Pay,2024,0.79,0.4,0.38,0.21
Pick n Pay,2025,1.12,0.55,0.52,0.29
Spar,2023,0.94,0.71,0.66,0.05
Spar,2024,0.89,0.69,0.59,0.04
Spar,2025,0.99,0.81,0.69,0.09
