Retailer,Year,Gross Profit Margin (%),Operating Profit Margin (%),Net Profit Margin (%),Return on Equity (%),Return on Assets (%)
Shoprite,2023,23.54,5.62,2.69,22.46,5.76
Shoprite,2024,23.5,5.36,2.63,22.44,5.54
Shoprite,2025,23.94,5.82,2.95,25.18,6.07
Woolworths,2023,36.91,9.14,6.99,42.25,12.95
Woolworths,2024,35.52,7.74,3.36,23.8,6.72
Woolworths,2025,34.0,6.29,3.06,22.92,6.01
Pick n Pay,2023,19.16,2.79,1.07,31.59,2.74
Pick n Pay,2024,17.58,0.35,-2.86,1126.62,-7.04
Pick n Pay,2025,17.77,1.44,-0.53,-5.94,-1.39
Spar,2023,11.87,1.72,0.3,4.33,0.72
Spar,2024,10.57,2.03,0.27,3.39,0.6
Spar,2025,10.76,1.51,-3.67,-90.89,-10.45
