Retailer,Year,Debt-to-Equity (excl Leases),Debt-to-Equity (incl Leases),Debt-to-Assets Ratio,Equity Ratio,Interest Coverage (EBIT / Fin Cost),Cash Interest Coverage (OCF / Fin Cost)
Shoprite,2023,0.49,1.85,0.47,0.26,0.0,0.0
Shoprite,2024,0.32,1.78,0.44,0.25,0.0,0.0
Shoprite,2025,0.29,1.86,0.45,0.24,0.0,0.0
Woolworths,2023,0.5,1.42,0.43,0.31,0.0,0.0
Woolworths,2024,0.71,1.66,0.47,0.28,0.0,0.0
Woolworths,2025,0.92,1.84,0.48,0.26,0.0,0.0
Pick n Pay,2023,1.53,6.33,0.55,0.09,0.0,0.0
Pick n Pay,2024,-39.06,-106.32,0.66,-0.01,0.0,0.0
Pick n Pay,2025,0.1,1.85,0.43,0.23,0.0,0.0
Spar,2023,1.13,2.65,0.44,0.17,0.0,0.0
Spar,2024,1.0,2.34,0.41,0.18,0.0,0.0
Spar,2025,1.45,3.06,0.35,0.11,0.0,0.0
