Company,Year,Revenue (Rm),EBIT (Rm),Operating Ratio (%)
Shoprite,2025,256682.0,14943.0,94.17839973196406
Shoprite,2024,236328.0,12662.0,94.6421922074405
Shoprite,2023,219645.0,12347.0,94.37865646839218
Woolworths,2025,80243.0,5050.0,93.70661615343394
Woolworths,2024,77335.0,5984.0,92.26223572767829
Woolworths,2023,72688.0,6644.0,90.85956416464892
Pick n Pay,2025,122458.0,1759.0,98.56358914893269
Pick n Pay,2024,115367.0,405.0,99.64894640581795
Pick n Pay,2023,109278.2,3048.0,97.2107886110862
Spar,2025,131457.7,1983.5,98.49114962455604
Spar,2024,130986.6,2657.6,97.97109017258254
Spar,2023,146461.0,2516.7,98.28165859853476
