Company,Year,EBIT (Rm),Gross Finance Cost (Rm),Tax Shield @ 27% (Rm),After-Tax Finance Cost (Rm),ICR (x)
Shoprite,2023,12347.0,3668.0,990.36,2677.64,3.37
Shoprite,2024,12662.0,4153.0,1121.31,3031.69,3.05
Shoprite,2025,14943.0,5115.0,1381.05,3733.95,2.92
Woolworths,2023,6644.0,1444.0,389.88,1054.12,4.6
Woolworths,2024,5984.0,1724.0,465.48,1258.52,3.47
Woolworths,2025,5050.0,1771.0,478.17,1292.83,2.85
Pick n Pay,2023,3048.0,1773.9,478.95,1294.95,1.72
Pick n Pay,2024,405.0,2467.0,666.09,1800.91,0.16
Pick n Pay,2025,1759.0,2561.0,691.47,1869.53,0.69
Spar,2023,2516.9,1245.5,336.29,909.22,2.02
Spar,2024,2657.6,1173.7,316.9,856.8,2.26
Spar,2025,1983.5,1304.8,352.3,952.5,1.52
